rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-1558-org,   dakota, bradshaw, 6, myles close, woodsong, holt, 2913, vic, 19300727, , 04 27449436, 8679699, 4
rec-799-dup-0, tara, needham, 55, banner street, , waramanga, 2612, nsw, 19829810, 28, 07 22417587, 8479586, 4
rec-667-dup-1, bethany, leaver, 29, torrens street, , wan, 2904, sa, , , 08 44486669, 8697324, 9
rec-1759-org,   emma, kreibig, 11, warrumbul street, tourist park, macgregor, 2602, vic, 19990510, 32, 08 93717799, 6774558, 8
rec-1852-dup-2, bethany, heepey, 828, garrard srreet, , forrest, 2602, naj, 19530928, 24, 03 14666440, 9191187, 1
rec-244-dup-1, brandon, godfrey, 22, molloy crescent, strathlea, holt, 2615, nsw, 19811219, 21, 08 24442775, 9433592, 5
rec-202-org,   kaela, clarke, 124, anne clark avenue, taraglen, banks, 2614, qld, 19000108, 41, 07 06783090, 5203416, 6
rec-1665-org,   mia, gocentas, 19, holden crescent, , lyneham, 2904, qld, 19661226, 26, 07 82859978, 4799875, 7
rec-1617-dup-0, sara, basw, 10, forrest place, , bruce, 2602, , 19831114, 18, 02 29759088, 7526019, 7
rec-1788-dup-0, jamklla, leaver, 3, lambrigfsstreet, , cook, 2615, wa, 19090614, 27, 07 80493890, 1217702, 2
rec-1141-dup-1, lukwe, boxhall, 1, allchin ircuit, , wanniassa, 2905, nsw, 19321010, 30, 04 86716805, 2372343, 1
rec-1029-dup-1, jarrd, mcelhinney, 5, , , grivsh, 2906, nsw, 19620301, 24, 02 30444585, 4939823, 4
rec-697-dup-2, jacob, artis, 2511, callistetnsrescent, lincoln close, page, 2617, vic, 19830107, 31, 07 71618411, 6409532, 5
rec-896-dup-2, henry, robson, 785, lawrence close, , belcontnen, 2615, nsw, 19391102, , 08 81168103, 2604007, 2
rec-1026-org,   jessica, nguyen, 10, cousin place, fairlane estate, latham, 2904, wa, 19100919, 28, 07 85595353, 6926597, 5
rec-454-org,   cooper, berryman, 8, illidge place, keriroca, fadden, 2611, sa, 19310422, , 02 00418683, 2218195, 2
rec-1174-dup-3, jolly, marlflgh, 25, , , wanniassa, 2607, vic, 19470727, 31, 04 05465172, 8799537, 6
rec-629-org,   nathan, walpole, 23, wambool street, , red hill, 2913, vic, 19361121, , 07 95520094, 8210665, 2
rec-1063-dup-4, george, , 7, brain steeet, , giralang, 2603, wa, 19770111, 27, 07 31885501, 2461152, 1
rec-1951-org,   charlotte, newey, 66, ragless circuit, , braddon, 2905, , 19071106, 28, 02 39830282, 6852489, 7
rec-500-dup-3, jaimee, , 9, bugdenkavenue, , kambah, 2605, wa, , 35, 04 50788142, 2347161, 2
rec-1098-dup-0, faith, ryay, 24, blackburn street, , monash, 2603, , 19330414, 32, 08 74198646, 3859107, 7
rec-85-org,   lara, wagnitz, 5, herron crescent, willow wood, reid, 2905, , 19851122, , 04 76374402, 1860651, 1
rec-1745-org,   joshua, leslie, 22, parfitt crescent, carrington retrmnt vlge, palmerston, 2601, nsw, 19820810, , 03 75793221, 5868319, 4
rec-978-org,   mitchell, clarke, 45, pither close, , chifley, 2905, wa, 19841026, 35, 03 93732018, 5129809, 6
rec-1028-org,   , campbell, 20, fihelly street, , downer, 2906, tas, 19951227, 25, 02 65868301, 6365843, 0
rec-973-dup-2, madeleine, elrick, 14, currie crescent, , amaroo, 2615, qld, 19020122, , 07 04283659, 9007393, 6
rec-1798-dup-0, benjamin, tosselnl, 8, kingsbury street, merungie, wanniassa, 2931, vic, 19160327, 19, 04 07291642, 5614841, 1
rec-300-dup-0, tommi-lee, ryapn, 4, vagabond zwscent, , spence, 2617, wa, 19860109, 39, 07 43388264, 3873830, 9
rec-439-dup-2, tomvx, brougan, 0, dandenong court, airforce memorial estate, ainslie, 2607, , 19560210, 35, 02 75517641, 8189959, 5
