rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-488-org,   jaykob, clarke, 108, cromwell circuit, , cook, 2611, nsw, 19081025, 37, 03 95865866, 4506311, 5
rec-3735-org,   kobe, coffey, 52, jansz crescent, the willows, richardson, 2614, vic, 19501207, , , 6407600, 0
rec-4560-org,   kaleb, lovelock, 43, downard street, glenmarla rmb 2563, kambah, 2614, nsw, 19780211, 39, 04 62781110, 9299426, 7
rec-2343-org,   brendan, white, 7, maitland street, , campbell, 2602, nsw, 19020207, 31, 07 17093807, 1726540, 6
rec-3194-org,   ellie, dixon, 5, richter close, pines retirement village, scullin, 2607, vic, , , 03 83188186, 5954567, 6
rec-3794-org,   chloe, matthews, 15, bimberi crescent, john flynn medical centre, fadden, 2606, nsw, 19380111, , 04 41997943, 9607532, 1
rec-4033-org,   bradley, reinmuth, 83, berry street, halycon, fisher, 2602, nsw, 19731005, 30, 08 44127932, 3964987, 1
rec-4496-org,   jacob, roles, 10, nangor street, glenlee, gowrie, 2905, nsw, 19451211, 21, 08 06689237, 4120325, 9
rec-2571-org,   emiily, hoffman, 4, livingston avenue, , chisholm, 2602, vic, 19220903, 27, 02 81779394, 5302736, 4
rec-4901-org,   dillon, palumbos, 6, benjee place, , weetangera, 2611, nsw, 19930422, 27, 04 60268412, 8386873, 4
rec-1902-org,   diamond, geraghty, 12, derwent street, , amaroo, 2904, nsw, 19830617, 32, 04 36308599, 5107800, 4
rec-3112-org,   mitchell, morrison, 7, conigrave place, , cook, 2607, qld, 19860429, , 08 66800444, 8815722, 5
rec-102-org,   alana, vlassopoulos, 40, leahy close, , o'connor, 2607, , 19880630, 25, 08 95011779, 3039744, 0
rec-4896-org,   isabella, ongley, 127, walker crescent, , o'connor, 2602, tas, 19760926, 26, 07 55425886, 2640482, 2
rec-792-org,   luke, crosswell, 910, blackwell circuit, , chapman, 2617, , 19320321, 27, 07 06275136, 8198727, 9
rec-3720-org,   aloysius, ranson, 23, bambridge street, , kambah, 2905, nsw, 19350531, 27, 07 58012927, 6518650, 2
rec-1290-org,   alicia, white, 42, mckay garden, , gordon, 2611, nsw, 19050831, 31, 08 12212844, 8963179, 0
rec-3089-org,   thomas, falting, 40, chevalley loop, , duffy, 2611, nsw, 19971202, 27, 03 72991552, 5360232, 4
rec-3949-org,   darcie, wilkins, 14, beirne street, glen arthur, aranda, 2906, vic, 19431206, , , 2252100, 9
rec-4783-org,   jaden, stefanicki, 29, cambridge street, , mawson, 2615, nsw, 19300528, 33, 02 64482412, 7840840, 1
rec-1695-org,   olivia, pascoe, 31, noel ryan garden, blackdowns, gordon, 2905, sa, 19670503, 28, 07 79455003, 1200103, 4
rec-2267-org,   emiily, warneke, 469, enid lorimer circuit, , isaacs, 2606, wa, 19760516, 28, 03 12243940, 9401902, 5
rec-193-org,   kristen, carmody, 100, dirrawan garden, , watson, 2611, nsw, 19211010, 41, 07 57880504, 8882428, 5
rec-4488-org,   monique, dinh, 85, packer street, , theodore, 2606, , 19491231, 29, 03 26520867, 4392613, 7
rec-3641-org,   samantha, secomb, 11, kambalda crescent, , ngunnawal, 2606, nsw, , 21, 03 29278087, 2666400, 6
rec-1275-org,   samuel, wilde, 50, gilruth street, , fadden, 2902, nsw, 19560408, 34, 04 60068406, 6317095, 8
rec-4629-org,   maliah, brain, 266, malcolm place, , chisholm, 2606, qld, 19190715, 26, 03 96401411, 1294984, 5
rec-4946-org,   emiily, opsima, 9, dominion circuit, farm shed, nicholls, 2615, tas, 19100416, 33, 02 96762066, 6565272, 4
rec-246-org,   silas, boutchard, 87, grimshaw street, sunshine farm, gowrie, 2604, qld, 19220217, 30, 08 31240794, 5505669, 9
rec-272-org,   eliza, paterson, 458, davenport street, port hills, giralang, 2905, , 19020511, 31, 03 56721690, 9462117, 2
rec-3745-org,   mila, wisby, 24, vasey crescent, mariah, griffith, 2602, nsw, 19920902, 27, 02 01457213, 8693972, 7
rec-1563-org,   spyke, matthews, 601, moore street, , kambah, 2612, , 19430226, 28, 03 66144235, 7729739, 4
rec-3857-org,   isabella, cormick, 59, glynn street, , lyons, 2615, nsw, 19391104, , 04 90644967, 4728669, 4
rec-2712-org,   cade, paterson, 28, dickinson street, , palmerston, 2617, tas, 19261025, 19, 08 57815844, 2907694, 7
rec-3242-org,   michael, mayer, 1011, dixon drive, karrara, calwell, 2614, nsw, 19531102, 28, 02 14500821, 2601918, 3
rec-1124-org,   tyler, paterson, 47, carter crescent, orcadia park, griffith, 2602, sa, 19980413, , 02 13735921, 9763401, 6
rec-267-org,   thomas, jessup, 56, burrowes place, woodburn pastoral, spence, 2905, vic, 19620528, 29, 02 61307883, 6361342, 4
rec-1327-org,   chase, morrison, 22, nott street, cohuna estate, stirling, 2602, vic, 19940705, 23, 02 07579395, 2602377, 8
rec-4330-org,   iain, longo, 2, mackenzie street, tarmac, latham, 2611, nsw, 19330123, 32, 08 26340652, 4058712, 4
rec-2330-org,   oliver, bowerman, 30, william hudson crescent, , macgregor, 2906, sa, 19971023, 22, 08 20398982, 6185410, 8
rec-4644-org,   mitchell, thredgold, 200, dutton street, , duffy, 2902, nsw, 19240110, 26, 03 01605530, 9408909, 6
rec-4750-org,   sonja, rees, 6, cheeseman place, , gordon, 2902, vic, 19501109, 36, 08 03931332, 4348102, 8
rec-2714-org,   isabella, lock, 6, longford street, , hawker, 2902, qld, 19611102, 27, 04 64251835, 8878055, 2
rec-2937-org,   william, hage, 172, pridham street, green lagoon, watson, 2913, qld, 19740917, 19, 07 12885722, 5417199, 2
rec-3312-org,   annabel, white, 3, gidjili place, , chapman, 2903, , 19790303, 29, 07 53712417, 4429626, 4
rec-393-org,   holly, reid, 64, kinkead street, shiel, o'connor, 2602, qld, , 23, 03 14679407, 3174149, 7
rec-3221-org,   takara, buhagiar, 4, diamond street, anzac house (cnr archer s street, hackett, 2607, , 19931209, 38, 04 09939553, 5869674, 6
rec-946-org,   jessica, ryan, 4, treharne place, , belconnen, 2617, nsw, 19800222, 26, 02 71116144, 2684741, 0
rec-3044-org,   kade, burn-adams, 100, cunningham street, canberra hse, bonython, 2615, qld, , 27, 08 99273003, 1025420, 8
rec-3369-org,   benjamin, mccarthy, 53, tyrrell circuit, , red hill, 2905, nsw, 19061124, 23, 04 18300730, 6690584, 1
rec-4279-org,   alana, britten, 99, verdon street, , lyneham, 2618, wa, 19981120, 24, 04 49460099, 1673752, 3
rec-4078-org,   joshua, chomos, , aspinall street, lakeside gardens tallwoods village, dunlop, 2615, vic, 19630810, 20, 04 93362306, 9131698, 7
rec-911-org,   lauren, lonie, 35, hinchcliffe place, louisa tor 4, nicholls, 2602, vic, 19910420, 28, 04 30839043, 2578824, 3
rec-1882-org,   damien, browne, 26, mcwhae circuit, earlville shoppingtown, greenway, 2614, qld, 19560707, 42, 04 52351851, 5302174, 0
rec-4602-org,   holly, birkin, 42, power street, , kambah, 2602, vic, 19130817, 25, 04 41168192, 4263167, 2
rec-449-org,   abby, rees, 368, national circuit, greenhills, hughes, 2614, qld, 19940901, 27, 08 18704273, 2913037, 0
rec-4141-org,   jack, kaukov, 8, hindmarsh drive, c f village, gowrie, 2906, , 19320312, , 08 36818028, 5844279, 1
rec-2915-org,   roisin, mccarthy, 37, desailly crescent, , florey, 2914, qld, 19221112, 36, 02 97933948, 9898128, 7
rec-3957-org,   jordyn, ryan, 13, mirning crescent, , torrens, 2615, qld, 19580707, 37, 08 01317558, 7649819, 5
rec-571-org,   harrison, tschirpig, 20, gymea street, , o'connor, 2602, qld, 19530528, 41, 03 38481385, 1231398, 5
rec-357-org,   ellen, reid, 247, attwood close, , cook, 2615, nsw, 19280929, 28, 04 98575255, 4774908, 7
rec-830-org,   timara, dorn, 18, leven street, , kingston, 2607, vic, 19231018, 44, 04 99012916, 5043140, 7
rec-721-org,   madison, matthews, 4, mcgowan street, , macquarie, 2603, qld, 19871027, , 07 68093561, 7964379, 2
rec-381-org,   dean, kingsley, 20, a'beckett street, , waramanga, 2602, qld, 19560115, 33, 08 09385168, 7232655, 5
rec-3325-org,   rachel, , 19, bissenberger crescent, , weston, 2914, nsw, 19940422, 41, 07 14983673, 3790697, 0
rec-4973-org,   ky, godfrey, 60, ross smith crescent, neerenuff cottage, macarthur, 2604, nsw, 19600110, 41, 04 74582301, 3957544, 8
rec-603-org,   ambrosia, webb, 95, heagney crescent, , isaacs, 2905, nsw, 19150724, 29, 07 08173556, 5569221, 8
rec-4112-org,   cooper, priest, 3, jaeger circuit, bodyworks healing centre, theodore, 2611, vic, 19620731, 31, 04 67111811, 2870016, 8
rec-2166-org,   jasmine, mccausland, 109, , gannet house, wanniassa, 2906, qld, 19200527, 28, 02 08984399, 1388175, 5
rec-1139-org,   jessica, mosman, 603, chauncy crescent, berkeley vlge, isaacs, 2905, vic, , 32, 07 37423864, 4066093, 2
rec-645-org,   madeline, , 5, marr street, , griffith, 2606, vic, 19101001, 41, 02 20741574, 9458268, 4
