rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-2062-dup-0, joshua, bennker, 36, skirving place, unt 2, weston, 2604, vic, 19190824, 23, 02 83121140, 4754402, 6
rec-2852-dup-0, priet, benjamin, 114, ward place, coryndirk, kambah, 2670, wa, 19610106, 31, 04 10455831, 4831210, 1
rec-621-dup-0, lachlan, dixon, 14, , , dunlop, 2605, vid, 19620918, 32, 02 08753012, 1686712, 1
rec-4514-dup-0, , mason, 115, carlilemshreet, callatoota, red hill, 2605, vic, 19850312, 22, 03 45142851, 4382606, 3
rec-1728-dup-0, oliver, bartel, 6, seymouel lplace, parklands estate, evatt, 2611, s, 19600811, , 04 87433903, 7307364, 3
rec-1991-dup-0, abbex, byers, 4, wrenfordslcy place, bonny farm, higgins, 2615, , 19029815, 35, 08 15460036, 5071066, 9
rec-4531-dup-0, carmem, dreckmw, 5, boobialla street, , turner, 2611, nsw, 19991030, 36, 02 30194840, 5748041, 1
rec-4813-dup-0, lachlan, crasje, 21, hooker street, mountain valley, hughes, 2612, sa, 19620624, 33, 04 02666920, 6041067, 8
rec-1131-dup-0, samuel, teague, 112, noongale court, , braddon, 2600, qld, 19996529, 28, , 8621302, 1
rec-820-dup-0, caitlink, reece, 31, burramurraoavenue, , phillip, 2614, nsw, 19200504, 35, 08 31701990, 8245434, 6
rec-4456-dup-0, madison, greenhalgh, 2, street barunga, , gilmore, 2617, vic, 19220810, 31, 03 71806442, 6041230, 1
rec-2175-dup-0, april, hannagqn, 166, annan close, , curtin, 2905, nsw, 19601004, 35, 02 66341772, 8278318, 2
rec-3770-dup-0, michael, braithwaite, 58, bass garden, , kamah, 2913, , 19491204, 23, 02 91577467, 5961292, 5
rec-3307-dup-0, morgan, tompkin, 18, katherinn avenue, crystal falls, lyneham, 2913, vkc, 19010124, 27, 02 99855956, 8638406, 1
rec-1008-dup-0, brooke, kwpuf, 6, mcguiness place, , chapman, 2905, vid, 19199206, , 03 04170907, 8941760, 1
rec-1480-dup-0, anika, folmyer, 24, dugdale street, banavie, hackett, 2614, nsw, , 27, 02 00836823, 1611316, 1
rec-328-dup-0, , thofpe, 500, fisherxstreet, , gordon, 2607, vic, , , , 1746262, 6
rec-1622-dup-0, whiteley, april, 1, sadlier street, hibiscus retirement resort, o'connor, 2913, , 19680819, 33, 03 44449615, 3895051, 8
rec-2449-dup-0, stephanie, lampery, 2103, kater place, , belconnen, 2602, , 19101216, 33, 03 66817106, 2219548, 7
rec-2474-dup-0, aliza, morrison, 5, cornish place, , 2602, isabell0p lains, tas, 19970302, 26, 03 11124328, 7043847, 4
rec-3839-dup-0, thomzs, berry, 23, , lakeview caravn park, curtin, 2902, , 19300722, 17, 08 17278584, 5535027, 8
rec-2755-dup-0, tim, orefice, 11, alexandfa street, , lahtam, 2617, wa, 19580904, 35, 03 10349773, 4652659, 9
rec-2385-dup-0, harriet, noboe, 1, kett street, , ainslie, 2607, , 19540620, 35, 08 08016823, 8646901, 3
rec-607-dup-0, carly, georgd, 414, , glendaurel, griffith, 2620, , 19410608, 26, 03 42136816, 5441467, 4
rec-1522-dup-0, harry, matthews, 7, findonaplace, foveaux terraces, phillip, 2615, qld, 19820206, 33, 02 20215426, 9557640, 0
rec-4036-dup-0, melanie, nguydn, 59, luffman crescent, , lyons, 2914, vic, 19681030, 36, , 7185497, 8
rec-333-dup-0, abbey, jokhly, 14, dowsley place, , lyneham, 2903, , , , 08 29896673, 2068372, 8
rec-4402-dup-0, indiana, ryan, 70, pullar view, lintdn, holt, 2906, vic, 19046058, 25, 02 71700504, 9387678, 4
rec-1692-dup-0, brigitte, hare, 20, bellinger circuit, , ngunnawal, 2905, qld, 19951121, , 07 83392488, 2718762, 9
rec-4281-dup-0, jakob, sparck, 446, chalker circuit, , kambah, 2611, ns, 19650731, 31, 03 06946729, 7505786, 5
rec-3072-dup-0, finn, shepherd, 14, street etheridgeb, pacific ranch, dickson, 2650, qld, 19611120, 26, 02 40331372, 7296983, 4
rec-1081-dup-0, finn, whitr, 23, jackie howe crescent, , o'cornr, 2913, qld, 19500116, 37, 02 37827881, 1245689, 8
rec-3066-dup-0, amalvma, thurlow, 59, namatjira drive, , ngunnawal, 2903, qln, 19930612, 23, 07 96064568, 2199718, 3
rec-4209-dup-0, bodhi, harrington, 6, lindrum crescent, , mckellar, 2156, wa, 19606728, 33, 03 91497553, 5177681, 6
rec-1372-dup-0, william, mason, 9, jacobs strbet, mt annan, ainslie, 2905, vic, , 26, 03 36994538, 6081001, 9
rec-2919-dup-0, kelsye, binns, 109, harcourt street, , wanniassa, 2612, tams, 19631017, 23, 03 40981748, 7188327, 8
rec-730-dup-0, charlotte, clarke, 176, mckail xrescent, , gowrie, 2603, qld, 19850407, 34, 08 94736784, 6179426, 4
rec-3425-dup-0, alexandra, necille, 32, bellchambrs crescent, , mawson, 2615, vic, 19990803, 23, 07 29456267, 7222966, 6
rec-2903-dup-0, ashn, rundle, 20, menzies court, , stirling, 2611, , 19240924, 17, 04 64027387, 5405733, 6
rec-9-dup-0, jack, korp ohay, 16, hunter street, , spence, 2913, vic, 19020822, 20, 02 84272775, 5025714, 9
rec-1868-dup-0, ethan, stanlye, 15, chandler street, , wanniassa, 2902, sa, 19780405, 35, 02 35389557, 3715973, 9
rec-3906-dup-0, paige, stephenson, 17, henry street, , isabel la iplains, 2615, , 19210404, 31, 02 96939365, 3570982, 7
